Organization Name,Website
Micro Contrôle Spectra-Physics S.A.,www.newport.com
Esigelec,www.groupe-esigelec.org
Parker Hannifin Manufacturing France SAS,www.parkerfrance.fr/
Zodiac Aerospace,www.zodiacaerospace.com
Chevron Oronite,www.chevron.com/products/oronite/contact/europe-africa.html
Vinci Construction Si,www.vinci-construction.com
Forsee Power,www.forseepower.com
CNRS - Scientific Research National Center,www.cnrs.fr
Capgemini,www.capgemini.com
École normale supérieure,www.ens.fr
Saint-Gobain S.A.,www.saint-gobain.com
Schneider Electric,www.schneider-electric.fr
Styrel,www.styrel.fr
ALSTOM Transport SA,www.alstomgroup.com
Merck Kgaa,www.merckgroup.com
Thales,www.thalesgroup.com
Altran Corp,www.altran.com
Asteelflash Group,www.asteelflash.com/
Inserm,www.inserm.fr
MESULOG,www.mesulog.fr
Groupe Atlantic,www.groupe-atlantic.com
Airbus Group,www.airbus.com
Emsch Cutter,www.ems-ch.com
Fullsave Sas,www.fullsave.com
SKF Magnetic Mechatronics,www.skf.com/fr/index.html
Onera - Le Center De Recherche Français Aérospatiale,www.onera.fr/
Supélec,www.centralesupelec.fr
Lgm,www.lgm.fr
M3 Systems,www.m3systems.net
Alcatraz it the service provider,www.alcatraz.fr
Centumadeneo,www.centumadeneo.com
VIVERIS TECHNOLOGIES,www.viveris.fr
NERYS,www.nerys.biz
Fprt,www.fprt.com
Insa,-
CETIM Technical Centre for Mechanical Industries,www.cetim.fr
Akka Technologies Sa,www.akka.eu/
Safran,www.safrangroup.com
ALLIANCE VISION,www.alliancevision.com
Orange Business Services,www.orange-business.com
Phalanx,www.phalanx.fr
Ciele Ingenierie,www.ciele.fr
Innodura TB,www.innodura.fr
GROUPE CAHORS SA,www.groupe-cahors.com
SERMA Group,www.serma.com
ARDPI,www.ardpi.com
G Cartier Technologies,www.gcartiertechnologies.com
LACROIX Electronics S.A.S.,www.lacroix-electronics.com
"Watts Water Technologies, Inc.",www.wattswater.com
Stromag GmbH,www.stromag.com
BioMérieux,www.biomerieux.com
Dolphin Integration,www.dolphin.fr/
