Organization Name,Country,Website
Electricity Generating Authority of Thailand,Thailand,www.egat.co.th
SVI PUBLIC COMPANY LIMITED,Thailand,www.svi.co.th
Western Digital Corporation,Thailand,www.wdc.com
Hana Bk,Thailand,www.lpn.hanabk.th.com
Ritta,Thailand,www.ritta.co.th
"Ceda Co., Ltd.",Thailand,www.ceda.co.th
W. And Associates Consultants Co. Ltd.,Thailand,www.wasso.co.th
"Sahaviriya Steel Industries Public Co. Ltd.	",Thailand,www.ssi-steel.com
Thai Obayashi,Thailand,www.thaiobayashi.co.th
SCG,Thailand,www.scg.com
Palmer & Turner (P & T) Thailand Ltd.,Thailand,-
Engineering Design Consultant (Edc),Thailand,-
SISTOMAT,Thailand,www.sistomat.com
Weinter,Thailand,www.we-inter.com
Ait,Thailand,-
Deframing,Thailand,www.deframing.co.th
Prosteel,Thailand,www.prosteel.co.th
AP Thai,Thailand,www.apthai.com
Mof,Thailand,www.mof.go.th
"Kasem Design & Consultant Co., Ltd.",Thailand,www.kasemdesign.com
Kasem Design And Consultant Co.  Ltd.,Thailand,-
Prototypemachinetool,Thailand,www.prototype-machine-tool.co.th
Sidel South Asia-Pacific Ltd.,Thailand,-
"Judah Engineering Co.,Ltd.",Thailand,www.judahengineering.com
Council Of Engineer,Thailand,-
Islamic Bank of Thailand,Thailand,www.ibank.co.th
"Blue Horizon Developments Co., Ltd",Thailand,www.bluehorizon-thailand.com
"Tinamics Co.,Ltd.",Thailand,www.tinamics.com
Royal Irrigation Department,Thailand,www.rid.go.th/
Namiki,Thailand,-
"MAA Consultants Co.,Ltd.",Thailand,www.maathai.com
Bluechips,Thailand,www.bluechips.co.th
"Trinergy Instrument Co.,LTD.",Thailand,www.trinergy.co.th
Pöyry,Thailand,www.poyry.com
Ect,Thailand,www.ect.co.th
"Norciv Engineering Co.,Ltd.",Thailand,www.norconsult.co.th
TTCL Public Company Limited,Thailand,www.ttcl-vn.com
Nidecshibaura,Thailand,www.nidec-shibaura.co.th
SCG,Thailand,www.scg.co.th
Misaen,Thailand,www.misaen.com
Venus solutions,Thailand,www.venussolutions.com
Master Ad Public Company Limited,Thailand,www.masterad.com/new/en/main/
Sensornic,Thailand,www.sensornic.com
ThaiBev,Thailand,www.thaibev.com
S. Associate Construction Co. Ltd.,Thailand,-
Driftengineering,Thailand,www.driftengineering.co.th
Royal Thai Armed Forces Headquarters,Thailand,www.rtarf.mi.th
บริษัท วี.สถาปัตย์ จำกัด,Thailand,www.vsathapat.co.th
Pokhin Engineering Company Limited,Thailand,www.ampersandace.com
Aptitechcal,Thailand,www.aptitech-cal.com
Chuchawalroyalhaskoning,Thailand,www.chuchawalroyalhaskoning.co.
Phyathai Nawamin Hospital By Sbn,Thailand,-
"Bitwise (Thailand) Co., Ltd.",Thailand,www.bitwise.co.th
AP Thai,Thailand,www.apthai.com
Asdecon Corporation Ltd.,Thailand,www.asdecon.com
Pruksa Real Estate Public Company Limited,Thailand,www.pruksa.com
Admplatinum,Thailand,www.admplatinum.com
Tltconsult,Thailand,www.tlt-consult.co.th
Sat,Thailand,-
Ensys,Thailand,www.ensys.co.th
Wattanasuk,Thailand,www.wattanasuk.com
Electricity Generating Authority of Thailand,Thailand,www.egat.co.th
"Sahaviriya Steel Industries Public Co. Ltd.	",Thailand,www.ssi-steel.com
Antronic,Thailand,www.antronic.co.th
"บริษัท เอดีดี เฟอร์เนส จำกัด | Add Furnace Co.,Ltd.",Thailand,www.add-furnace.com
"PowerDrive Automation Co.,Ltd.",Thailand,www.powerdrive-automation.com
SCG,Thailand,www.scg.com
Wan Csl,Thailand,-
Youwarethai,Thailand,www.youwarethai.com
General Engineering,Thailand,-
JD CENTRAL,Thailand,www.jd.co.th
