"Case Id","Case Status","Products","No. ofMachines","No. ofEvents","Last Event","OpportunityTotal","Organization Name","Country","Website","CaseManager"
"2058007#5","Unqualified","CSiBridge, ETABS, SAFE, SAP2000","127","3,712","28-Feb-20","179,000","Spt","Viet Nam","www.spt.vn","Marc Luijten"
"685098#3","Unqualified","ETABS, SAFE, SAP2000","22","2,511","28-Feb-20","92,000","Alinco Ltd.","Viet Nam","alinco.com.vn","Marc Luijten"
"2073115#2","Unqualified","ETABS, SAFE, SAP2000","17","872","28-Feb-20","0","Ssghn","Viet Nam","www.ssghn.vn","Marc Luijten"
"396089#3","Unqualified","ETABS, SAFE, SAP2000","16","1,632","28-Feb-20","40,000","Sao Mai Group Corporation","Viet Nam","www.saomaigroup.com","Marc Luijten"
"674936#1","Unqualified","ETABS, SAFE, SAP2000","9","3,206","28-Feb-20","68,000","Athena Group Consultant Design","Viet Nam","www.athenagroup.com.vn","Marc Luijten"
"761754#1","Unqualified","ETABS, SAP2000","8","2,021","28-Feb-20","50,000","Spandesign","Viet Nam","www.span-design.com","Marc Luijten"
"531236#2","Unqualified","ETABS, SAFE, SAP2000","7","510","28-Feb-20","10,000","Da Nang Government","Viet Nam","www.danang.gov.vn","Marc Luijten"
"1916813#1","Unqualified","ETABS, SAP2000","6","770","28-Feb-20","60,000","Scgr","Viet Nam","www.scgr.com.vn","Marc Luijten"
"565343#2","Unqualified","ETABS, SAFE, SAP2000","6","235","28-Feb-20","16,000","Hung Thinh Corporation","Viet Nam","www.hungthinhcorp.com.vn","Marc Luijten"
"717731#1","Unqualified","ETABS, SAFE, SAP2000","5","550","28-Feb-20","10,000","Icci Kiểm Định","Viet Nam","www.icci.vn","Marc Luijten"
"948531#1","Unqualified","ETABS, SAFE, SAP2000","5","166","28-Feb-20","10,000","Vsip","Viet Nam","www.vsip.com.vn","Marc Luijten"
"423319#2","Unqualified","ETABS, SAFE, SAP2000","4","1,321","28-Feb-20","0","Can Tho Government","Viet Nam","www.cantho.gov.vn","Marc Luijten"
"713233#1","Unqualified","ETABS, SAFE, SAP2000","4","1,172","28-Feb-20","16,000","Công ty CP Tư vấn Thiết kế và Đầu tư Xây dựng BHD","Viet Nam","bhdjsc.com/","Marc Luijten"
"691221#1","Unqualified","ETABS, SAFE, SAP2000","4","329","28-Feb-20","6,000","Công Ty TNHH MTV Anh Minh Anh","Viet Nam","www.anhminhanh.vn","Marc Luijten"
"721984#2","Unqualified","Tekla Structural Designer, Tekla Structures","3","599","28-Feb-20","54,000","Sieu Chung Ky JSC","Viet Nam","www.sck.com.vn","William Gerrits"
"1159596#2","Unqualified","ETABS, SAFE, SAP2000","3","57","28-Feb-20","0","BIM GROUP","Viet Nam","www.bimgroup.com","Marc Luijten"
"224151#22","Unqualified","Maplesoft","3","6","28-Feb-20","2,400","Ho Chi Minh City University Of Technology","Viet Nam","www.hcmut.edu.vn/vi","Marc Luijten"
"271048#1","Unqualified","Tekla Structures","2","661","28-Feb-20","18,000","Agrimeco J.S.C","Viet Nam","-","William Gerrits"
"487619#2","Unqualified","ETABS, SAFE, SAP2000","2","619","28-Feb-20","20,000","Dung Tien Construction Co., Ltd.","Viet Nam","www.dungtien.com","Marc Luijten"
"1813816#1","Unqualified","ETABS","2","255","28-Feb-20","10,000","Hunggiacorp","Viet Nam","www.hunggiacorp.vn","Marc Luijten"
"1438081#1","Unqualified","ETABS, SAFE","2","179","28-Feb-20","0","Cty Tnhh Tm-Dv Tin Hoc Songtek","Viet Nam","-","Marc Luijten"
"1920049#1","Unqualified","ETABS, SAFE","2","138","28-Feb-20","16,000","Fujinami","Viet Nam","www.fujinami.vn","Marc Luijten"
"748517#1","Unqualified","ETABS, SAFE, SAP2000","2","137","28-Feb-20","0","Tantruongphat","Viet Nam","www.tantruongphat.com.vn","Marc Luijten"
"1095023#2","Unqualified","ETABS, SAFE, SAP2000","1","270","28-Feb-20","6,000","vietnamtourslotus.com","Viet Nam","www.tropicalspaceil.com","Marc Luijten"
"1204949#2","Unqualified","ETABS, SAFE, SAP2000","1","177","28-Feb-20","6,000","TieLabs","Viet Nam","www.ngoclong.org","Marc Luijten"
"1626277#2","Unqualified","Steel","1","155","28-Feb-20","6,501","Hbarchitects","Viet Nam","www.hbarchitects.vn","Chris Luijten"
"1922012#1","Unqualified","ETABS, SAFE, SAP2000","1","126","28-Feb-20","10,000","Công ty Cổ Phần Dịch Vụ Công Nghệ Sài Gòn","Viet Nam","www.hsevn.com.vn","Marc Luijten"
"1389529#3","Unqualified","ETABS, SAFE, SAP2000","1","110","28-Feb-20","16,000","Avajsc","Viet Nam","www.avajsc.co","Marc Luijten"
"536007#1","Unqualified","Concrete, Steel","1","102","28-Feb-20","6,501","Springhouse","Viet Nam","www.springhouse.com.vn","Chris Luijten"
"1434249#1","Unqualified","SAP2000","1","85","28-Feb-20","10,000","Sennebogen","Viet Nam","www.sennebogen.com.vn","Marc Luijten"
"567192#3","Unqualified","ETABS, SAP2000","1","69","28-Feb-20","10,000","Vitinhphongvu","Viet Nam","www.vitinhphongvu.com","Marc Luijten"
"687369#1","Unqualified","ETABS, SAP2000","1","62","28-Feb-20","10,000","Dpcint","Viet Nam","www.dpcint.com","Marc Luijten"
"1580397#2","Unqualified","ETABS, SAP2000","1","57","28-Feb-20","0","Tuvandongduong","Viet Nam","www.tuvandongduong.vn","Marc Luijten"
"2016789#1","Unqualified","ETABS","1","48","28-Feb-20","10,000","Cong ty Co Phan Tu van Thiet ke va Xay dung Nhan Viet","Viet Nam","www.nhanvietdn.com","Marc Luijten"
"1673065#2","Unqualified","SAP2000","1","38","28-Feb-20","10,000","DEEP C Industrial Zones","Viet Nam","www.dinhvu.com","Marc Luijten"
"1710165#2","Unqualified","ETABS","1","27","28-Feb-20","10,000","Becamex - Bình Phước","Viet Nam","www.becamexbinhphuoc.com.vn","Marc Luijten"
"731012#1","Unqualified","DIAdem, LabVIEW, LabVIEW Communications System Design Suite, LabVIEW FPGA, LabVIEW NXG, NI Requirements Gateway, TestStand, Vision Assistant, Vision Development Module","27","619","27-Feb-20","38,800","Tan Phat Automation JSC","Viet Nam","www.tpa.com.vn","Marc Luijten"
"887005#2","Unqualified","ETABS, SAFE, SAP2000","22","915","27-Feb-20","22,000","Aperia","Viet Nam","www.aperia.vn","Marc Luijten"
"911412#3","Unqualified","ETABS, SAFE, SAP2000","11","1,000","27-Feb-20","0","TPCOMS","Viet Nam","www.tpcoms.vn","Marc Luijten"
"252781#3","Unqualified","LabVIEW, LabVIEW FPGA, LabVIEW NXG, LabVIEW Real Time, TestStand","10","651","27-Feb-20","25,000","Proteus Vietnam Ltd.","Viet Nam","www.proteusvietnam.com","Marc Luijten"
"888925#3","Unqualified","ETABS, SAFE, SAP2000","7","963","27-Feb-20","30,000","Gbit","Viet Nam","www.gbit.vn","Marc Luijten"
"237415#1","Unqualified","Tekla Structures","7","724","27-Feb-20","18,000","TTJ Design & Engineering Pte. Ltd. Vietnam","Viet Nam","-","William Gerrits"
"1353931#1","Unqualified","ETABS, SAFE, SAP2000","5","882","27-Feb-20","30,000","Minh Tri Steel Structure JSC (Meizic Steel)","Viet Nam","-","Marc Luijten"
"447368#5","Unqualified","ETABS, SAFE, SAP2000","4","445","27-Feb-20","30,000","Demo","Viet Nam","www.demo.com","Marc Luijten"
"2155387#1","Unqualified","ETABS, SAP2000","4","82","27-Feb-20","10,000","Risingsun","Viet Nam","www.risingsun.com.vn","Marc Luijten"
"773301#1","Unqualified","ETABS, SAP2000","3","792","27-Feb-20","0","Công Ty Cp Đầu Tư & Tm Quốc Tế Huy Hoàng","Viet Nam","www.huyhoangiti.vn","Marc Luijten"
"1300858#1","Unqualified","ETABS, SAFE, SAP2000","3","318","27-Feb-20","20,000","Vietform","Viet Nam","www.vietform.vn","Marc Luijten"
"2013658#2","Unqualified","snpslmd, sssverify","3","251","27-Feb-20","200,000","Hust","Viet Nam","www.hust.org.vn","Chris Luijten"
"687762#5","Unqualified","Concrete, Steel","2","161","27-Feb-20","13,002","Ddcbd","Viet Nam","www.ddcbd.com","Chris Luijten"
"756463#1","Unqualified","ETABS, SAFE, SAP2000","2","117","27-Feb-20","10,000","Longlecons","Viet Nam","thegioinhaxuong.net/","Marc Luijten"
"2055627#2","Unqualified","LabVIEW","2","18","27-Feb-20","10,000","Công ty cổ phần Esystech","Viet Nam","www.esystechs.vn","Marc Luijten"
"1821056#3","Unqualified","LabVIEW, Measurement Studio, Vision Development Module","1","700","27-Feb-20","2,500","TVen","Viet Nam","www.tven.vn","Marc Luijten"
"972672#1","Unqualified","ETABS, SAFE, SAP2000","1","573","27-Feb-20","16,000","Hory","Viet Nam","www.hory.vn","Marc Luijten"
"1865789#1","Unqualified","LabVIEW","1","327","27-Feb-20","5,000","Cong Ty TNHH Thuong Mai Va Dich Vu Tang Minh Phat","Viet Nam","www.tmpvietnam.com","Marc Luijten"
"853977#1","Unqualified","SAP2000","1","322","27-Feb-20","0","Elxom","Viet Nam","www.elxom.com.vn","Marc Luijten"
"1541361#1","Unqualified","ETABS, SAFE, SAP2000","1","200","27-Feb-20","10,000","Cdmvietnam","Viet Nam","www.cdmvietnam.com","Marc Luijten"
"684831#1","Unqualified","ETABS, SAFE, SAP2000","1","172","27-Feb-20","10,000","Star Global Expert JSC","Viet Nam","starglobal.com.vn/","Marc Luijten"
"1671389#2","Unqualified","ETABS, SAFE","1","134","27-Feb-20","10,000","Contemi","Viet Nam","www.contemi.com.vn","Marc Luijten"
"1964613#1","Unqualified","ETABS, SAFE","1","126","27-Feb-20","6,000","Datnen","Viet Nam","-","Marc Luijten"
"2159627#1","Unqualified","ETABS, SAFE","1","123","27-Feb-20","10,000","Yahou","Viet Nam","www.yahou.com.vn","Marc Luijten"
"2122955#1","Unqualified","ETABS, SAFE, SAP2000","1","101","27-Feb-20","10,000","CÔNG TY TNHH DV & TM GÔ CO VI NA","Viet Nam","www.gocovina.com","Marc Luijten"
"314431#2","Unqualified","ETABS, SAFE, SAP2000","1","70","27-Feb-20","0","Structural Bim Solutions","Viet Nam","www.strucbimsol.vn","Chris Luijten"
"2029539#1","Unqualified","ETABS, SAFE, SAP2000","1","66","27-Feb-20","16,000","Ecu","Viet Nam","www.hcmut.ecu.vn","Marc Luijten"
"571179#2","Unqualified","ETABS, SAFE, SAP2000","1","64","27-Feb-20","0","Miczone Group","Viet Nam","www.miczone.vn","Marc Luijten"
"2001745#1","Unqualified","ETABS","1","57","27-Feb-20","10,000","Công Ty Cổ Phần Shienco","Viet Nam","www.shienco.com","Marc Luijten"
"895056#2","Unqualified","ETABS","1","52","27-Feb-20","10,000","Cong Ty Co Phan Chung Khoan Au Lac","Viet Nam","-","Marc Luijten"
"1050948#2","Unqualified","ETABS, SAFE, SAP2000","1","36","27-Feb-20","10,000","Bamboocap","Viet Nam","www.bamboocap.com.vn","Marc Luijten"
"2288810#1","Unqualified","LabVIEW, Vision Development Module","1","29","27-Feb-20","8,800","Dmco","Viet Nam","www.dmco.vn","Marc Luijten"
"978216#3","Unqualified","SAP2000","1","14","27-Feb-20","0","Hanelcom","Viet Nam","www.hanelcom.vn","Marc Luijten"
"1913334#2","Unqualified","ETABS","1","10","27-Feb-20","10,000","Cementys","Viet Nam","www.cementys.com","Marc Luijten"
"2069070#1","Unqualified","SAP2000","1","5","27-Feb-20","0","Công Ty CP ĐT XD CT Chuẩn A","Viet Nam","www.chuana.com.vn","Marc Luijten"
"683708#1","Unqualified","ETABS, SAFE","10","292","26-Feb-20","10,000","Phan Vu Investment Corporation","Viet Nam","www.phanvu.vn/","Nguyen Hong Quang"
